"DOWNTIME_ID","START_TIME","END_TIME","MACHINE_NO","REASON","NOTES"
"2415","03-MAY-21 07.28.52.000000 AM UTC","03-MAY-21 08.10.09.000000 AM UTC","6","",""
"2416","03-MAY-21 08.11.48.000000 AM UTC","03-MAY-21 08.12.40.000000 AM UTC","8","Productivity loss",""
"2417","03-MAY-21 07.37.05.000000 AM UTC","03-MAY-21 08.13.08.000000 AM UTC","4","",""
"2419","03-MAY-21 08.13.38.000000 AM UTC","03-MAY-21 08.14.30.000000 AM UTC","8","Productivity loss",""
"2420","03-MAY-21 08.14.43.000000 AM UTC","03-MAY-21 08.18.36.000000 AM UTC","9","Productivity loss",""
"2421","03-MAY-21 08.19.04.000000 AM UTC","03-MAY-21 08.19.52.000000 AM UTC","8","Productivity loss",""
"2422","03-MAY-21 08.20.15.000000 AM UTC","03-MAY-21 08.20.59.000000 AM UTC","8","Productivity loss",""
"2424","03-MAY-21 08.37.46.000000 AM UTC","03-MAY-21 08.38.47.000000 AM UTC","9","Productivity loss",""
"2425","03-MAY-21 08.43.16.000000 AM UTC","03-MAY-21 08.44.21.000000 AM UTC","4","Productivity loss",""
"2427","03-MAY-21 08.44.47.000000 AM UTC","03-MAY-21 08.46.01.000000 AM UTC","9","Productivity loss",""
"2428","03-MAY-21 08.54.07.000000 AM UTC","03-MAY-21 08.54.57.000000 AM UTC","4","Productivity loss",""
"2429","03-MAY-21 08.55.51.000000 AM UTC","03-MAY-21 08.56.37.000000 AM UTC","4","Productivity loss",""
"2430","03-MAY-21 08.45.18.000000 AM UTC","03-MAY-21 08.58.50.000000 AM UTC","8","",""
"2433","03-MAY-21 08.56.06.000000 AM UTC","03-MAY-21 09.22.48.000000 AM UTC","6","",""
"2531","03-MAY-21 02.14.54.000000 PM UTC","03-MAY-21 02.15.38.000000 PM UTC","8","Productivity loss",""
"2532","03-MAY-21 02.15.42.000000 PM UTC","03-MAY-21 02.16.42.000000 PM UTC","8","Productivity loss",""
"2534","03-MAY-21 02.20.59.000000 PM UTC","03-MAY-21 02.23.00.000000 PM UTC","9","Productivity loss",""
"2535","03-MAY-21 02.24.48.000000 PM UTC","03-MAY-21 02.25.36.000000 PM UTC","9","Productivity loss",""
"2536","03-MAY-21 02.26.09.000000 PM UTC","03-MAY-21 02.28.06.000000 PM UTC","9","Productivity loss",""
"2537","03-MAY-21 02.20.59.000000 PM UTC","03-MAY-21 02.28.22.000000 PM UTC","6","",""
"2538","03-MAY-21 02.29.36.000000 PM UTC","03-MAY-21 02.30.46.000000 PM UTC","9","Productivity loss",""
"2545","03-MAY-21 02.37.21.000000 PM UTC","03-MAY-21 02.38.35.000000 PM UTC","8","Productivity loss",""
"2548","03-MAY-21 02.41.04.000000 PM UTC","03-MAY-21 02.42.04.000000 PM UTC","6","Productivity loss",""
